ackley,accuracy,precision,iteration_nr
1_20_10000_0.001,1,0.0005093985547136989,327
1_20_10000_0.000001,1,0.0000006809504460886161,1177
1_20_10000_0.000000001,0,0.00000006295491666317084,10000
1_20_250000_0.001,1,0.0005024152858632517,330
1_20_250000_0.000001,1,0.000000689670915944693,1216
1_20_250000_0.000000001,0.8155339805825242,0.0000000009064404717648659,122984
1_50_10000_0.001,1,0.00036816691815480215,176
1_50_10000_0.000001,1,0.0000006759923024571665,656
1_50_10000_0.000000001,0.018691588785046728,0.000000023396675932062694,9956
1_50_250000_0.001,1,0.00036831978952032665,175
1_50_250000_0.000001,1,0.0000006791506716605787,671
1_50_250000_0.000000001,0.9801980198019802,0.0000000006616826866401524,103053
20_20_10000_0.001,1,0.00009821964284449502,344
20_20_10000_0.000001,1,0.0000002053096316686017,1172
20_20_10000_0.000000001,0.08411214953271028,0.0000000045645567491906195,9742
20_20_250000_0.001,1,0.00009932507523868025,340
20_20_250000_0.000001,1,0.00000020555902751823306,1195
20_20_250000_0.000000001,1,0.00000000022041018075586828,115344
20_50_10000_0.001,1,0.00005391465580771941,184
20_50_10000_0.000001,1,0.00000021392863014545694,653
20_50_10000_0.000000001,0.13592233009708737,0.0000000024410060682583614,9362
20_50_250000_0.001,1,0.00005205597952723635,188
20_50_250000_0.000001,1,0.00000020390124166262018,661
20_50_250000_0.000000001,1,0.00000000022088817903489026,87558
