parabolla,accuracy,precision,iteration_nr
1_20_10000_0.001,1,0.0005161558368298583,511
1_20_10000_0.000001,0.93279258400927,0.000000723653385906665,4062
1_20_10000_0.000000001,0.20602218700475436,0.00000043461663184806497,9269
1_20_250000_0.001,1,0.0005117937473564013,529
1_20_250000_0.000001,1,0.0000005306499260788864,4097
1_20_250000_0.000000001,1,0.0000000005068066291909138,25355
1_50_10000_0.001,1,0.0005118528706574822,233
1_50_10000_0.000001,0.9947575360419397,0.0000005407739184552214,2480
1_50_10000_0.000000001,0.43174603174603177,0.000000030647692181175714,8368
1_50_250000_0.001,1,0.0005035201973324967,247
1_50_250000_0.000001,1,0.0000005241997370981333,2460
1_50_250000_0.000000001,1,0.0000000005430471889442185,15296
20_20_10000_0.001,1,0.000047314831338274914,510
20_20_10000_0.000001,1,0.00000005868343171365011,3479
20_20_10000_0.000000001,0.986046511627907,0.00000000024485748539424507,6404
20_20_250000_0.001,1,0.000048927911919559343,505
20_20_250000_0.000001,1,0.00000006272253606663857,4434
20_20_250000_0.000000001,1,0.00000000004980417095299527,24633
20_50_10000_0.001,1,0.000047339584632389844,242
20_50_10000_0.000001,1,0.000000052138373195694154,2265
20_50_10000_0.000000001,1,0.00000000015279750850686008,6003
20_50_250000_0.001,1,0.000047108348021159536,231
20_50_250000_0.000001,1,0.00000004753758504488091,2398
20_50_250000_0.000000001,1,0.00000000004505271496556837,14082
